State,Department,Website,District,Block
Karnataka,Bangalore water supply and sewage board(WWM-110V),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore water supply and sewage board(West),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore-Department of Electrical Inspectorate(Head office),RTI_Online_Karnataka,Bangalore,Not Applicable
Karnataka,Bangalore-Department of Electrical Inspectorate(North),RTI_Online_Karnataka,Bangalore,Not Applicable
Karnataka,Bangalore-Department of Electrical Inspectorate(South),RTI_Online_Karnataka,Bangalore,Not Applicable
Karnataka,Bantwal Planning Authority,RTI_Online_Karnataka,bantal,Not Applicable
Karnataka,Belagavi - District Court,RTI_Online_Karnataka,Belagavi,
Karnataka,Belagavi - District Scheduled Tribes Welfare Department,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi - District Training Institute,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi - Government College of Teachers Education,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of The Deputy Director, Department of Agricultural Marketing",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi - Office of The District Health and Family Welfare Officer,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of The District Skill Development Officer, Skill Development Department",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of The District officer, Minority Welfare Department",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of the Deputy Director (Administration), Department of School Education",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of the Deputy Director, Department of School Education(Pre University)",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of the Deputy Director, Department of School Education(Pre University) Chikkodi",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of the Deputy Director, Department of School Education, Chikkodi",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi - Office of the Joint Director, District Treasury",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi - Urban Development Authority,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi -Joint Director office, Commerce and Industries Department",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi Institute of Medical sciences, Belagavi",RTI_Online_Karnataka,State Level / Not Applicable,Not Applicable
Karnataka,Belagavi- Karnataka Slum Development Board,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi- Office of The Additional Director, Department of Social Welfare",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi- Office of The Deputy Director, Department of Women and Child Development",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi- Office of The Joint Director, Department of Agriculture",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi- Office of The Superintendent of Police,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi- Office of the Superintendent Engineer, Department of Minor Irrigation and Groundwater Dev",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi- Office of the commissioner of police,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Athni-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Athni
Karnataka,Belagavi-Bailahongal-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Bailahongal
Karnataka,Belagavi-Belagavi-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Belagavi
Karnataka,Belagavi-Chikkodi-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Chikkodi
Karnataka,Belagavi-City Corporation,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Deputy Director of Land Records-DDLR,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-District Consumer Disputes and Redressal Commission,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-District Registrar - DR,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Food and Civil Supplies - FCS,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Gokak-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Gokak
Karnataka,Belagavi-Hukkeri-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Hukkeri
Karnataka,Belagavi-Kagawad-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Kagawad
Karnataka,Belagavi-Khanapur-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Khanapur
Karnataka,Belagavi-Kittur-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Kittur
Karnataka,Belagavi-LABOUR,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Mudalagi-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Mudalagi
Karnataka,Belagavi-Nippani-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Nippani
Karnataka,"Belagavi-Office of The Deputy Director, Department of Horticulture",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi-Office of The Deputy Director, Department of Sericulture",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Belagavi-Office of the Deputy Director, Regional forensic science laboratory",RTI_Online_Karnataka,Belagavi,
Karnataka,"Belagavi-Office of the District officer, Backward Classes welfare department",RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Office of the Joint Registrar of Cooperative Societies,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Public Works Department - PWD,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-REVENUE,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,Belagavi-Ramdurga-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Ramdurga
Karnataka,Belagavi-Raybag-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Raybag
Karnataka,Belagavi-Rural Development and Panchayat Raj - RDPR(Z.P),RTI_Online_Karnataka,Belagavi,NA
